,,,,
Theme: Economy & Prices,,,,
Subject: Prices and Price Indices,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,
"Table Title: Consumer Price Index (CPI), 2019 As Base Year, Monthly, Seasonally Adjusted",,,,
,,,,
Data last updated: 23/01/2024,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,
,,,,
Data Series,All Items (Index),All Items -> Housing & Utilities (Index),All Items Less Imputed Rentals On Owner-Occupied Accommodation (Index),All Items Less Accommodation (Index)
  2023 Dec,115.2,112.8,115.5,115.8
  2023 Nov,114.7,112.5,115,115.4
  2023 Oct,115.5,112.5,115.9,116.2
  2023 Sep,114.7,111.8,115.1,115.5
  2023 Aug,114.1,111.5,114.5,114.8
  2023 Jul,113.6,111.4,113.9,114.2
  2023 Jun,113.4,110.5,113.8,114.2
  2023 May,112.8,110.2,113.2,113.6
  2023 Apr,113.3,110.3,113.7,114
  2023 Mar,112.4,109.8,112.8,113.2
  2023 Feb,111.9,109.4,112.3,112.7
  2023 Jan,111.6,109.4,111.9,112.2
  2022 Dec,111,108.6,111.4,111.8
  2022 Nov,110.8,108.4,111.2,111.6
  2022 Oct,110.2,108.3,110.5,110.8
  2022 Sep,110.2,107.8,110.6,111
  2022 Aug,109.7,107.4,110.1,110.5
  2022 Jul,109.2,107.3,109.5,109.8
  2022 Jun,108.5,106,109,109.3
  2022 May,107.4,105.4,107.8,108
  2022 Apr,107.1,105.8,107.4,107.6
  2022 Mar,106.5,104.3,106.9,107.1
  2022 Feb,105.3,103.9,105.4,105.6
  2022 Jan,104.6,103.9,104.7,104.8
  2021 Dec,104.3,102.9,104.4,104.5
  2021 Nov,103.8,102.6,103.9,104
  2021 Oct,103.3,102.4,103.2,103.3
  2021 Sep,102.5,101.5,102.5,102.6
  2021 Aug,102.1,101.3,102,102.1
  2021 Jul,102,101.3,101.9,101.9
  2021 Jun,101.7,100.7,101.7,101.8
  2021 May,101.7,100.4,101.8,101.9
  2021 Apr,101.6,100.8,101.6,101.7
  2021 Mar,101.1,99.8,101.1,101.1
  2021 Feb,100.8,99.7,100.8,100.8
  2021 Jan,100.8,99.9,100.7,100.7
  2020 Dec,100.3,99.5,100.3,100.3
  2020 Nov,99.9,99.5,99.8,99.8
  2020 Oct,100,99.8,99.9,99.9
  2020 Sep,100,99.1,99.9,99.9
  2020 Aug,99.6,99.1,99.5,99.5
  2020 Jul,99.5,99.4,99.2,99.1
  2020 Jun,99.3,99.8,99.1,99.1
  2020 May,99.3,99.8,99.1,99
  2020 Apr,99.6,100.3,99.3,99.2
  2020 Mar,99.7,100,99.7,99.6
  2020 Feb,100.2,100,100.1,100.2
  2020 Jan,100.4,100.2,100.4,100.4
  2019 Dec,100.3,99.8,100.3,100.3
  2019 Nov,100.1,99.8,100.1,100.1
  2019 Oct,100.2,100,100.2,100.2
  2019 Sep,100,99.9,100,100
  2019 Aug,100,99.9,100.1,100.1
  2019 Jul,99.9,100.2,99.8,99.8
  2019 Jun,99.9,99.5,99.9,99.9
  2019 May,100.2,99.9,100.2,100.3
  2019 Apr,100.3,100.2,100.3,100.3
  2019 Mar,99.8,100.1,99.8,99.8
  2019 Feb,99.8,100.3,99.8,99.8
  2019 Jan,99.6,100.6,99.5,99.5
  2018 Dec,99.5,100.9,99.4,99.4
  2018 Nov,99.4,101.1,99.3,99.3
  2018 Oct,99.7,101.3,99.6,99.5
  2018 Sep,99.6,101.2,99.4,99.4
  2018 Aug,99.6,101.4,99.4,99.4
  2018 Jul,99.7,101.5,99.3,99.3
  2018 Jun,99.3,100.5,99,98.9
  2018 May,99.3,100.5,98.9,98.9
  2018 Apr,99.4,100.9,98.8,98.8
  2018 Mar,99.1,100.7,98.6,98.6
  2018 Feb,99.2,100.9,98.7,98.6
  2018 Jan,99.4,101.2,98.7,98.7
  2017 Dec,99.1,100.9,98.4,98.3
  2017 Nov,99.2,101.2,98.4,98.4
  2017 Oct,99.1,101.6,98.2,98.1
  2017 Sep,98.9,101.8,98,97.9
  2017 Aug,98.9,102.1,97.9,97.8
  2017 Jul,99.1,102.6,97.9,97.8
  2017 Jun,98.8,102.5,97.6,97.5
  2017 May,99,102.6,97.7,97.6
  2017 Apr,99.4,103.4,98,97.8
  2017 Mar,98.9,102.9,97.5,97.4
  2017 Feb,99,103.2,97.4,97.3
  2017 Jan,98.8,103.4,97.2,97.1
  2016 Dec,98.7,103.3,97,96.9
  2016 Nov,98.6,103.7,96.7,96.6
  2016 Oct,98.5,103.6,96.6,96.5
  2016 Sep,98.5,104.3,96.6,96.4
  2016 Aug,98.5,104.6,96.5,96.3
